Position,Track Name,Artist,Streams,date,region,spotify_id
20,Cold,Maroon 5,1222,2017-03-31,lu,5NNlUMcOEOdoOIwwaWXv0k
21,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,1193,2017-03-31,lu,0fg8CqpjdojMyXLNzM2PaJ
22,Believer,Imagine Dragons,1122,2017-03-31,lu,0CcQNd8CINkwQfe1RDtGV6
23,Castle on the Hill,Ed Sheeran,1051,2017-03-31,lu,6PCUP3dWmTjcTtXY02oFdT
24,Chained To The Rhythm,Katy Perry,1001,2017-03-31,lu,6520aj0B4FSKGVuKNsOCOi
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,3301,2017-04-07,lu,7qiZfU4dY1lWllzX7mPBI3
2,Something Just Like This,The Chainsmokers,2196,2017-04-07,lu,6RUKPb4LETWmmr3iAEQktW
3,Mask Off,Future,2174,2017-04-07,lu,3rOSwuTsUlJp0Pu0MkN8r8
4,It Ain't Me (with Selena Gomez),Kygo,2144,2017-04-07,lu,3eR23VReFzcdmS7TYCrhCe
5,Despacito (Featuring Daddy Yankee),Luis Fonsi,1804,2017-04-07,lu,4aWmUDTfIPGksMNLV2rQP2
6,Passionfruit,Drake,1800,2017-04-07,lu,7hDc8b7IXETo14hHIHdnhd
7,Stay (with Alessia Cara),Zedd,1705,2017-04-07,lu,0dA2Mk56wEzDgegdC6R17g
8,Paris,The Chainsmokers,1693,2017-04-07,lu,72jbDTw1piOOj770jWNeaG
9,Symphony (feat. Zara Larsson),Clean Bandit,1671,2017-04-07,lu,1x5sYLZiu9r5E43kMlt9f8
10,HUMBLE.,Kendrick Lamar,1652,2017-04-07,lu,7KXjTSCq5nL1LoYtL7XAwS
11,You Don't Know Me - Radio Edit,Jax Jones,1587,2017-04-07,lu,00lNx0OcTJrS3MKHcB80HY
12,Galway Girl,Ed Sheeran,1580,2017-04-07,lu,0afhq8XCExXpqazXczTSve
13,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,1536,2017-04-07,lu,6kex4EBAj0WHXDKZMEJaaF
14,Issues,Julia Michaels,1420,2017-04-07,lu,1sXUWdKx03aP9Gmzft58rt
15,Slide (feat. Frank Ocean & Migos),Calvin Harris,1383,2017-04-07,lu,7tr2za8SQg2CI8EDgrdtNl
16,Scared to Be Lonely,Martin Garrix,1347,2017-04-07,lu,3ebXMykcMXOcLeJ9xZ17XH
17,That's What I Like,Bruno Mars,1344,2017-04-07,lu,0KKkJNfGyhkQ5aFogxQAPU
18,Call On Me - Ryan Riback Extended Remix,Starley,1314,2017-04-07,lu,78rIJddV4X0HkNAInEcYde
19,Cold,Maroon 5,1282,2017-04-07,lu,5NNlUMcOEOdoOIwwaWXv0k
20,Solo Dance,Martin Jensen,1220,2017-04-07,lu,6HUnnBwYZqcED1eQztxMBN
21,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,1176,2017-04-07,lu,0fg8CqpjdojMyXLNzM2PaJ
22,Believer,Imagine Dragons,1157,2017-04-07,lu,0CcQNd8CINkwQfe1RDtGV6
23,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1075,2017-04-07,lu,3NdDpSvN911VPGivFlV5d0
24,Selfish (feat. Rihanna),Future,1020,2017-04-07,lu,2Ce5IyMlVRVvN997ZJjJJA
25,The One,The Chainsmokers,1005,2017-04-07,lu,0wfbD5rAksdXUzRvMfM3x5
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,3058,2017-04-14,lu,7qiZfU4dY1lWllzX7mPBI3
2,HUMBLE.,Kendrick Lamar,2151,2017-04-14,lu,7KXjTSCq5nL1LoYtL7XAwS
3,Mask Off,Future,2037,2017-04-14,lu,3rOSwuTsUlJp0Pu0MkN8r8
4,Something Just Like This,The Chainsmokers,2033,2017-04-14,lu,6RUKPb4LETWmmr3iAEQktW
5,It Ain't Me (with Selena Gomez),Kygo,1919,2017-04-14,lu,3eR23VReFzcdmS7TYCrhCe
6,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,1670,2017-04-14,lu,6kex4EBAj0WHXDKZMEJaaF
7,Despacito (Featuring Daddy Yankee),Luis Fonsi,1651,2017-04-14,lu,4aWmUDTfIPGksMNLV2rQP2
8,Symphony (feat. Zara Larsson),Clean Bandit,1530,2017-04-14,lu,1x5sYLZiu9r5E43kMlt9f8
9,Stay (with Alessia Cara),Zedd,1488,2017-04-14,lu,0dA2Mk56wEzDgegdC6R17g
10,Passionfruit,Drake,1480,2017-04-14,lu,7hDc8b7IXETo14hHIHdnhd
11,Paris,The Chainsmokers,1467,2017-04-14,lu,72jbDTw1piOOj770jWNeaG
12,Galway Girl,Ed Sheeran,1375,2017-04-14,lu,0afhq8XCExXpqazXczTSve
13,You Don't Know Me - Radio Edit,Jax Jones,1362,2017-04-14,lu,00lNx0OcTJrS3MKHcB80HY
14,DNA.,Kendrick Lamar,1356,2017-04-14,lu,6HZILIRieu8S0iqY8kIKhj
15,Scared to Be Lonely,Martin Garrix,1281,2017-04-14,lu,3ebXMykcMXOcLeJ9xZ17XH
16,Issues,Julia Michaels,1277,2017-04-14,lu,1sXUWdKx03aP9Gmzft58rt
17,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,1254,2017-04-14,lu,6SwRhMLwNqEi6alNPVG00n
18,That's What I Like,Bruno Mars,1253,2017-04-14,lu,0KKkJNfGyhkQ5aFogxQAPU
19,Call On Me - Ryan Riback Extended Remix,Starley,1209,2017-04-14,lu,78rIJddV4X0HkNAInEcYde
20,Slide (feat. Frank Ocean & Migos),Calvin Harris,1189,2017-04-14,lu,7tr2za8SQg2CI8EDgrdtNl
21,ELEMENT.,Kendrick Lamar,1133,2017-04-14,lu,1EaKU4dMbesXXd3BrLCtYG
22,Solo Dance,Martin Jensen,1114,2017-04-14,lu,6HUnnBwYZqcED1eQztxMBN
23,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,1012,2017-04-14,lu,0fg8CqpjdojMyXLNzM2PaJ
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,2642,2017-04-21,lu,7qiZfU4dY1lWllzX7mPBI3
2,Despacito - Remix,Luis Fonsi,2071,2017-04-21,lu,5CtI0qwDJkDQGwXD1H1cLb
3,Mask Off,Future,2004,2017-04-21,lu,3rOSwuTsUlJp0Pu0MkN8r8
4,HUMBLE.,Kendrick Lamar,1908,2017-04-21,lu,7KXjTSCq5nL1LoYtL7XAwS
5,It Ain't Me (with Selena Gomez),Kygo,1737,2017-04-21,lu,3eR23VReFzcdmS7TYCrhCe
6,Something Just Like This,The Chainsmokers,1661,2017-04-21,lu,6RUKPb4LETWmmr3iAEQktW
7,Despacito (Featuring Daddy Yankee),Luis Fonsi,1597,2017-04-21,lu,4aWmUDTfIPGksMNLV2rQP2
8,Symphony (feat. Zara Larsson),Clean Bandit,1584,2017-04-21,lu,1x5sYLZiu9r5E43kMlt9f8
9,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,1540,2017-04-21,lu,6kex4EBAj0WHXDKZMEJaaF
10,Stay (with Alessia Cara),Zedd,1389,2017-04-21,lu,0dA2Mk56wEzDgegdC6R17g
11,You Don't Know Me - Radio Edit,Jax Jones,1370,2017-04-21,lu,00lNx0OcTJrS3MKHcB80HY
12,Passionfruit,Drake,1344,2017-04-21,lu,7hDc8b7IXETo14hHIHdnhd
13,Galway Girl,Ed Sheeran,1326,2017-04-21,lu,0afhq8XCExXpqazXczTSve
14,DNA.,Kendrick Lamar,1185,2017-04-21,lu,6HZILIRieu8S0iqY8kIKhj
15,That's What I Like,Bruno Mars,1148,2017-04-21,lu,0KKkJNfGyhkQ5aFogxQAPU
16,Solo Dance,Martin Jensen,1147,2017-04-21,lu,6HUnnBwYZqcED1eQztxMBN
17,Issues,Julia Michaels,1140,2017-04-21,lu,1sXUWdKx03aP9Gmzft58rt
18,Paris,The Chainsmokers,1140,2017-04-21,lu,72jbDTw1piOOj770jWNeaG
19,Scared to Be Lonely,Martin Garrix,1110,2017-04-21,lu,3ebXMykcMXOcLeJ9xZ17XH
20,Slide (feat. Frank Ocean & Migos),Calvin Harris,1049,2017-04-21,lu,7tr2za8SQg2CI8EDgrdtNl
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Despacito - Remix,Luis Fonsi,2896,2017-04-28,lu,5CtI0qwDJkDQGwXD1H1cLb
2,Shape of You,Ed Sheeran,2574,2017-04-28,lu,7qiZfU4dY1lWllzX7mPBI3
3,Mask Off,Future,2019,2017-04-28,lu,3rOSwuTsUlJp0Pu0MkN8r8
4,HUMBLE.,Kendrick Lamar,1925,2017-04-28,lu,7KXjTSCq5nL1LoYtL7XAwS
5,Despacito (Featuring Daddy Yankee),Luis Fonsi,1836,2017-04-28,lu,4aWmUDTfIPGksMNLV2rQP2
6,Something Just Like This,The Chainsmokers,1784,2017-04-28,lu,6RUKPb4LETWmmr3iAEQktW
7,It Ain't Me (with Selena Gomez),Kygo,1664,2017-04-28,lu,3eR23VReFzcdmS7TYCrhCe
8,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,1582,2017-04-28,lu,6kex4EBAj0WHXDKZMEJaaF
9,Symphony (feat. Zara Larsson),Clean Bandit,1512,2017-04-28,lu,1x5sYLZiu9r5E43kMlt9f8
10,Stay (with Alessia Cara),Zedd,1509,2017-04-28,lu,0dA2Mk56wEzDgegdC6R17g
11,Galway Girl,Ed Sheeran,1327,2017-04-28,lu,0afhq8XCExXpqazXczTSve
12,Passionfruit,Drake,1315,2017-04-28,lu,7hDc8b7IXETo14hHIHdnhd
